bearing,bearing_risk(HH),bearing_risk(30),bearing_risk(45),bearing_risk(60)
44.4,48.67314919,45.85513814,0,0
44.5,48.51480664,45.59469615,0,0
44.6,48.12718233,45.53955802,0,0
44.7,47.70232045,44.4566851,0,0
44.8,47.36618786,43.92055248,0,0
44.9,46.48917128,43.32419891,0,0
45,45.97325968,42.55834256,0,0
45.1,46.58950276,41.61182322,11.37790055,0
45.2,46.14928177,41.08000001,12.53966851,0
45.3,45.59944753,39.59756907,12.74176796,0
45.4,45.00828732,38.64187848,13.59447514,0
45.5,44.53889505,37.44265194,14.99933703,0
45.6,44.19635361,36.32574585,15.95779008,0
45.7,43.42762433,35.73613261,17.37845304,0
45.8,42.67392267,35.84629835,18.1078453,0
45.9,42.000663,36.32022099,19.36895028,0
46,41.40320443,36.39027625,20.22464089,0
46.1,41.13281769,36.44375691,19.65580111,0
46.2,41.16132599,36.4001105,19.58320442,0
46.3,41.18961327,36.19171272,19.19171271,0
46.4,41.21944752,36.15060774,18.91535911,0
46.5,41.24220996,36.12729283,18.04917127,0
46.6,40.71149172,36.1681768,18.33325967,0
46.7,40.14187846,36.58066298,18.05679559,0
46.8,39.97966853,36.79381216,17.62895028,0
46.9,39.81767956,36.99834256,17.83790055,0
47,39.89281771,36.72983426,17.599779,0
47.1,39.86298344,36.87624311,17.4682873,0
47.2,39.79458566,36.51856356,17.49911603,0
47.3,39.79955803,35.74298345,17.47922654,0
47.4,39.75348069,35.68309393,17.30364642,0
47.5,39.49469615,35.49348067,17.53082873,0
47.6,39.39104974,35.37303868,17.04,0
47.7,39.05812157,35.29359117,17.37591161,0
47.8,38.77392267,35.33944754,17.51624309,0
47.9,38.38353593,35.48563537,18.07127073,0
48,38.17314919,35.40961328,17.93381215,0
48.1,38.29469615,35.39436466,18.09823204,0
48.2,38.23734809,35.02309395,18.82055249,0
48.3,38.08066301,34.11281768,18.77823205,0
48.4,38.06629836,33.8444199,19.64287293,0
48.5,37.94651935,33.54906079,19.45734807,0
48.6,37.55104974,33.86154699,19.67668509,0
48.7,37.11403317,33.76696134,20.47093924,0
48.8,36.91502764,33.69988951,20.52939227,0
48.9,36.77734808,33.7691713,20.94618786,0
49,36.76287294,33.88309394,21.12618785,0
49.1,36.48895029,34.05303869,22.06331492,0
49.2,36.47535913,33.73779007,22.23337017,0
49.3,36.25425416,32.72309394,22.66640885,0
49.4,36.22928178,32.64132599,23.16762432,0
49.5,36.17624311,32.50828731,23.38961326,0
49.6,35.75801106,32.27138123,24.140221,0
49.7,35.42563537,32.5287293,24.21082875,0
49.8,35.10552488,32.25325969,25.2963536,0
49.9,34.91878454,32.42519339,25.52154696,0
50,34.90408841,32.5366851,26.40165746,0
50.1,34.79856355,32.13524864,26.71060774,0
50.2,34.8325967,31.99812155,27.29933702,0
50.3,34.68718233,31.27591161,27.41314918,0
50.4,34.51381216,31.00298343,27.23182322,0
50.5,34.33027625,31.01900553,27.18055249,0
50.6,34.10530388,30.82972377,27.20618786,0
50.7,33.54740333,30.84497239,27.25922653,0
50.8,33.42276244,30.79104973,27.92165747,0
50.9,33.1080663,30.90585636,28.18685084,0
51,33.04895028,30.69745857,28.46751383,0
51.1,32.83524863,30.61127073,27.90585638,0
51.2,32.7639779,30.20342543,27.98497239,0
51.3,32.53845304,29.59237571,26.90408842,0
51.4,32.60629836,29.26640884,26.85779007,0
51.5,32.45944753,29.25469614,26.69414367,0
51.6,31.88817681,29.13524863,26.63149174,0
51.7,31.46828731,29.05801106,26.38198897,0
51.8,31.32773482,29.00629835,26.59624311,0
51.9,31.15314918,28.93248619,26.93138122,0
52,30.96375692,29.22618785,26.86077349,0
52.1,30.73193371,29.18718232,26.5323757,0
52.2,30.63314918,28.67237569,26.24563538,0
52.3,30.62662984,28.13502762,25.48740334,0
52.4,30.55613261,27.46784531,25.13834257,0
52.5,30.41723757,27.71071824,25.03922653,0
52.6,30.12651935,27.49679559,25.18000001,0
52.7,29.69624311,27.36320443,25.14309394,0
52.8,29.41613261,27.49580112,25.03447516,0
52.9,29.21635361,27.48088399,25.22375692,0
53,28.94110499,27.3005525,24.9243094,0
53.1,28.84618785,27.08961327,25.16618786,0
53.2,28.64872929,26.93723758,24.67171271,0
53.3,28.55138123,26.32430942,24.04939227,0
53.4,28.4682873,25.94165747,23.77458565,0
53.5,28.01138123,25.45966852,23.49679559,0
53.6,27.81259671,25.02773482,22.83624311,0
53.7,27.50563537,24.87060774,21.79425415,0
53.8,26.91790058,24.42939227,21.29303869,0
53.9,26.68254146,24.37690608,20.9528177,0
54,26.25889504,24.0112707,20.14022101,0
54.1,25.89801107,23.75270719,19.38353593,0
54.2,25.75337018,23.46662985,18.87116023,0
54.3,25.37458564,22.40298343,17.79988951,0
54.4,25.08696134,21.24232046,17.36994476,0
54.5,24.80364642,20.97558012,16.26817679,0
54.6,24.25458563,20.76143648,15.56077348,0
54.7,23.36784531,20.69314918,15.09325968,0
54.8,22.75193371,20.77767957,14.51060774,0
54.9,22.4365746,20.60674034,14.03988951,0
55,22.39292818,20.57690609,13.69359115,0
55.1,22.43845305,20.57977901,13.51767956,0
55.2,22.34861879,20.47922653,13.36872928,0
55.3,22.25458564,19.95171272,13.19558012,0
55.4,22.31513813,19.48110498,12.93580111,0
55.5,22.18198896,19.45016575,12.9120442,0
55.6,22.29790056,19.31558012,12.60950277,0
55.7,22.11878454,19.37193372,12.75767956,0
55.8,21.76850829,19.12817681,12.84486188,0
55.9,21.61933703,19.18342542,13.09337016,0
56,21.46530388,19.38740333,13.11370167,0
56.1,21.4162431,19.39093923,13.21834253,0
56.2,21.23071823,19.55591162,13.33447514,0
56.3,21.29082874,18.90397791,13.5677348,0
56.4,21.19127073,18.24906078,13.52121547,0
56.5,21.22883979,18.34276244,13.35182321,0
56.6,21.11281768,18.30121548,13.70121547,0
56.7,20.80464089,18.32917128,13.67138122,0
56.8,20.51690608,18.38961327,13.75779006,0
56.9,20.38254144,18.24530388,14.19679559,0
57,20.32353592,18.30707183,14.28541437,0
57.1,20.30121548,18.29502764,14.80298344,0
57.2,20.23193371,18.44696133,14.86685084,0
57.3,20.25569062,17.57856354,15.04972376,0
57.4,20.18541437,17.51502763,14.77160222,0
57.5,20.04762432,17.34298344,14.7403315,0
57.6,20.100442,17.26464089,14.95049725,0
57.7,20.08110498,17.24806631,15.12983426,0
57.8,19.74950277,17.12552488,14.96651935,0
57.9,19.42751381,17.55878454,15.68696133,0
58,19.32353592,17.48662985,15.48674035,0
58.1,19.22640885,17.25878454,15.97524863,0
58.2,19.13679559,17.27149172,15.86795581,0
58.3,19.12751382,16.6439779,15.86552488,0
